action,priority,business_id,kept_id,candidate_id,name,flags,reason,suggested_resolution
"review_listing_quality","normal","480-realty-property-management-mesa-85209","","","480 Realty & Property Management","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arclight-pictures-tucson","","","ArcLight Pictures","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","high","dink-and-dine-pickle-park-mesa-85201-5432605","","","Dink & Dine Pickle Park","source URL domain differs from website | no website or booking URL | auto-merged duplicate: phone:4807194697","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","high","techbros-electronic-recycling-and-itad-scottsdale-85260-8909b0c","","","Techbros Electronic Recycling & ITAD","source URL domain differs from website | no website or booking URL | auto-merged duplicate: phone:4804477356","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","alerus-phoenix-85008-783cb2b","","","Alerus","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","american-technology-specialists-mesa-85210-142f7ae","","","American Technology Specialists","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","ames-construction-inc-scottsdale-85255-1a3d9fd","","","Ames Construction, Inc.","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","ap-professionals-of-arizona-scottsdale-85251-d6ce44c","","","AP Professionals of Arizona","source URL domain differs from website | auto-merged duplicate: domain:approus.com","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","apartment-hunters-phoenix-85051-4a7265c","","","Apartment Hunters","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-alliance-for-community-health-centers-phoenix-85034-c9af822","","","Arizona Alliance for Community Health Centers","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-best-real-estate-scottsdale-85254-c8dd9fe","","","Arizona Best Real Estate","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","austin-commercial-l-p-phoenix-85027-474a9c5","","","Austin Commercial, L.P.","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","aventura-catering-phoenix-85004-352fe2c","","","Aventura Catering","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","baker-commodities-inc-phoenix-85005-460fcbd","","","Baker Commodities, Inc.","source URL domain differs from website | auto-merged duplicate: domain:bakercommodities.com","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","bbsi-barrett-business-services-inc-scottsdale-85250-175a1ff","","","BBSI/Barrett Business Services, Inc.","source URL domain differs from website | auto-merged duplicate: domain:bbsi.com","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","beatitudes-campus-phoenix-85021-e66a4ed","","","Beatitudes Campus","source URL domain differs from website | auto-merged duplicate: domain:beatitudescampus.org","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","beer-and-wine-distributors-of-arizona-phoenix-85003-782e174","","","Beer & Wine Distributors of Arizona","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","beltmann-group-inc-agent-for-north-american-van-lines-phoenix-85009-2285722","","","Beltmann Group, Inc. - Agent for North American Van Lines","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","border-states-electric-supply-phoenix-85034-85275d9","","","Border States Electric Supply","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","breyer-law-offices-p-c-phoenix-85044-9980de5","","","Breyer Law Offices, P.C.","source URL domain differs from website | auto-merged duplicate: domain:breyerlaw.com","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","bridgeway-health-solutions-tempe-85281-9163161","","","Bridgeway Health Solutions","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","brown-and-brown-insurance-of-arizona-inc-phoenix-85004-b4e68c9","","","Brown & Brown Insurance of Arizona, Inc.","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","burch-and-cracchiolo-p-a-phoenix-85004-acf6c6b","","","Burch & Cracchiolo, P.A.","source URL domain differs from website | auto-merged duplicate: domain:bcattorneys.com","","request owner cleanup, enrich listing, or suppress if abusive"
