Skye Business Command Center Smoke Test
Generated: 2026-05-17T04:36:27+00:00

200 http://localhost:8080/index.html
200 http://localhost:8080/setup.html
200 http://localhost:8080/dashboard.html
200 http://localhost:8080/customer-portal.html
200 http://localhost:8080/support.html
200 http://localhost:8080/intake.html
200 http://localhost:8080/billing.html
200 http://localhost:8080/admin-tools.html
200 http://localhost:8080/surface-map.html
200 http://localhost:8080/command-center.html
200 http://localhost:8080/pricing.html
200 http://localhost:8080/client-onboarding.html
200 http://localhost:8080/client-handoff.html
200 http://localhost:8080/launch.html
200 http://localhost:8080/demo.html
200 http://localhost:8080/proof.html
200 http://localhost:8080/maintenance.html
200 http://localhost:8080/readiness.html
200 http://localhost:8080/brain.html
302 http://localhost:8081
200 http://localhost:8082
302 http://localhost:8083
200 http://localhost:8084
