Skye Business Command Center Smoke Test
Generated: 2026-05-15T15:28:40+00:00

000 http://localhost:8080/index.html
000 http://localhost:8080/setup.html
000 http://localhost:8080/dashboard.html
000 http://localhost:8080/customer-portal.html
000 http://localhost:8080/support.html
000 http://localhost:8080/intake.html
000 http://localhost:8080/billing.html
000 http://localhost:8080/admin-tools.html
000 http://localhost:8080/surface-map.html
000 http://localhost:8080/command-center.html
000 http://localhost:8080/pricing.html
000 http://localhost:8080/client-onboarding.html
000 http://localhost:8080/client-handoff.html
000 http://localhost:8080/launch.html
000 http://localhost:8080/demo.html
000 http://localhost:8080/proof.html
000 http://localhost:8080/maintenance.html
000 http://localhost:8080/readiness.html
000 http://localhost:8080/brain.html
000 http://localhost:8081
000 http://localhost:8082
000 http://localhost:8083
000 http://localhost:8084
